# Experiment C: VC verification latency vs credential richness
N_claims,median_ms,p95_ms,mean_ms
1,0.16374,0.20936,0.17081
2,0.1644,0.2126,0.17402
4,0.16009,0.19767,0.16648
8,0.16208,0.20464,0.16865
16,0.16658,0.2161,0.17491
32,0.17173,0.20931,0.17759

# Selective disclosure (N=16): latency vs disclosed k
k_disclosed,median_ms,p95_ms,mean_ms
1,0.17452,0.21609,0.17999
2,0.17824,0.22557,0.18407
4,0.18694,0.32793,0.2068
8,0.19788,0.23897,0.20352
16,0.22167,0.2636,0.22792

# richness scaling order,O(1) — effectively constant (ECDSA recovery dominates)
# richness fit,median_ms = 0.161641 + 0.000298*N  (R^2=0.7616)
# sig-check target ms,10.0
# p95 under target across range,True
