provider,operation,chain_round_trip,n,mean_ms,median_ms,p95_ms,min_ms,max_ms,stdev_ms,gas_used,gas_median,gas_min,gas_max,rpc_calls_median,signed_message_bytes_median,resolution_ms_median
pki_standard,register_identity,False,50,15.8544,15.1671,19.5279,14.8120,26.3089,2.0712,,,,,0.0,,
pki_standard,issue_credential,False,50,0.7599,0.7207,0.8777,0.6631,1.6126,0.1414,,,,,0.0,,
pki_standard,sign_message,False,50,0.0593,0.0540,0.0893,0.0503,0.1178,0.0137,,,,,0.0,1078.0,
pki_standard,verify_message,False,50,0.3237,0.3211,0.3661,0.2944,0.3747,0.0197,,,,,0.0,,
pki_standard,resolve_identity,False,50,0.1746,0.1712,0.1961,0.1595,0.2171,0.0125,,,,,0.0,,
pki_standard,check_revocation,False,50,0.0009,0.0009,0.0011,0.0008,0.0026,0.0003,,,,,0.0,,
pki_standard,revoke_credential,False,50,0.0231,0.0202,0.0436,0.0187,0.0498,0.0079,,,,,0.0,,
pki_centralized,register_identity,False,50,5.1160,5.0229,5.5999,4.6459,6.7880,0.3311,,,,,0.0,,
pki_centralized,issue_credential,False,50,0.2344,0.2272,0.2888,0.1927,0.3174,0.0290,,,,,0.0,,
pki_centralized,sign_message,False,50,0.0610,0.0579,0.0816,0.0502,0.0998,0.0109,,,,,0.0,1106.0,
pki_centralized,verify_message,False,50,0.3761,0.3693,0.4179,0.3385,0.4266,0.0222,,,,,0.0,,
pki_centralized,resolve_identity,False,50,0.0198,0.0181,0.0295,0.0174,0.0424,0.0046,,,,,0.0,,
pki_centralized,check_revocation,False,50,0.0005,0.0005,0.0006,0.0004,0.0022,0.0003,,,,,0.0,,
pki_centralized,revoke_credential,False,50,0.0198,0.0178,0.0360,0.0155,0.0505,0.0073,,,,,0.0,,
erc1056_did,register_identity,True,50,18.2658,16.9120,22.0339,14.5053,63.9213,6.8776,,54860,54836,54860,6.0,,
erc1056_did,issue_credential,True,50,13.5729,13.5167,15.6973,11.1600,17.9158,1.2932,,37779,37755,37779,5.0,,
erc1056_did,sign_message,False,50,0.4069,0.4006,0.4558,0.3816,0.4837,0.0226,,,,,0.0,595.0,
erc1056_did,verify_message,True,50,18.6672,18.1579,23.7406,15.9502,25.4931,2.2137,,,,,7.0,,10.5526
erc1056_did,resolve_identity,True,50,10.8162,10.0579,12.7531,8.5750,30.2057,3.1387,,,,,4.0,,
erc1056_did,check_revocation,True,50,7.8006,7.7121,9.3654,6.4498,11.3224,1.0331,,,,,3.0,,
erc1056_did,revoke_credential,True,50,13.0059,12.5682,15.5343,10.9786,19.4324,1.5079,,75044,75032,75044,8.0,,
